pageid,ns,title,extract
487794,0,Abu Dhabi International Airport,"Abu Dhabi International Airport (Arabic: مطار أبو ظبي الدولي) (IATA: AUH, ICAO: OMAA) is an international airport in the Emirate of Abu Dhabi, the capital of the United Arab Emirates.
The airport, located 16.5 nautical miles (30.6 km; 19.0 mi) east of Abu Dhabi city, is the second largest in the UAE after Dubai International Airport, serving around 20 million passengers in 2014. It has three operational passenger terminals: Terminal 1 (divided into Terminals 1A and 1B), Terminal 2, Terminal 3. Abu Dhabi International Airport is spread over an area of 3,400 hectares (8,500 acres). Its terminal spaces are dominated by Etihad Airways, the country's second flag carrier airline and the second largest airline in the UAE after Emirates. More than 30 airlines offer service to over 120 destinations in more than 60 countries."
487827,0,Abu Zabi International Airport,
6259084,0,Abuja International Airport,
317155,0,Acapulco International Airport,"Acapulco International Airport, officially General Juan N. Álvarez International Airport (IATA: ACA, ICAO: MMAA), is the main airport of Acapulco, Guerrero, Mexico, located 26 km (16 miles) from the city.
In 2019, the airport handled 875,315 passengers, and in 2020 it handled 395,948 passengers."
52582059,0,Accidents and incidents at John F. Kennedy International Airport,
42082175,0,Accra International Airport,
55426010,0,Achmad Yani International Airport,
29158171,0,Ada International Airport,
29158167,0,Ada Saipan International Airport,
37694334,0,Adan Adde International Airport,
44280311,0,Adan Cadde International Airport,
1115036,0,Addis Ababa Bole International Airport,"Addis Ababa Bole International Airport (IATA: ADD, ICAO: HAAB) is an international airport in Addis Ababa, Ethiopia. It is located in the Bole district, 6 km (3.7 mi) southeast of the city centre and 65 km (40 mi) north of Bishoftu. The airport was formerly known as Haile Selassie I International Airport. It is the main hub of Ethiopian Airlines, the national airline that serves destinations in Ethiopia and throughout the African continent, as well as nonstop service to Asia, Europe, North America and South America. The airport is also the base of the Ethiopian Aviation Academy. As of June 2018, nearly 450 flights per day were departing from and arriving at the airport."
30494001,0,Addis Ababa International Airport,
37841805,0,Addis Abeba Bole International Airport,
13339511,0,Adelaide International Airport,
25186107,0,Aden Abdulle International Airport,
5613319,0,Aden Adde International Airport,"Aden Adde International Airport (Somali: Garoonka Caalamiga Ee Aadan Cadde, Arabic: مطار آدم عدي الدولي) (IATA: MGQ, ICAO: HCMM), formerly known as Mogadishu International Airport, is an international airport serving Mogadishu, the capital of Somalia. It is named after Aden Abdullah Osman Daar, the first President of Somalia.
Originally a modest-sized airport, the facility grew considerably in size in the post-independence period after numerous successive renovation projects. With the outbreak of the civil war in 1991, Aden Adde International's flight services experienced routine disruptions. However, with the security situation in Mogadishu greatly improved in the late 2010–2011 period, large-scale rehabilitation of the grounds' infrastructure and services once again resumed. By early 2013, the airport had restored most of its facilities and introduced several new features."
9421129,0,Aden International Airport,"Aden International Airport is an international airport in Aden, Yemen (IATA: ADE, ICAO: OYAA). Prior to its use as a civil air facility, the aerodrome was known as RAF Khormaksar, which opened in 1917 and closed as an RAF station in 1967. In the 1970s and 1980s it was both a civilian airport and a Soviet Air Force air base. It continues to be used for military purposes by the Yemeni Air Force.

"
52057605,0,Adisucipto International Airport,
2850967,0,Adisumarmo International Airport,"Adisumarmo International Airport (Indonesian: Bandar Udara Internasional Adisumarmo) (IATA: SOC, ICAO: WAHQ) is an airport in Boyolali Regency, Central Java, Indonesia. It is located 14 km north of Surakarta city. It is the main airport of Boyolali and Surakarta and the surrounding area, also known as Greater Solo. The airport also serves as an alternative airport to Adisutjipto International Airport in Yogyakarta during a disaster, such as during the 2006 Yogyakarta earthquake and the 2010 Mount Merapi eruption.
The airport also serves as the base of the Indonesian Air Force which is known as Lanud Adisumarmo. However, the airport do not serve as a home base to any combat squadron of the Indonesian Air Force. Instead, it serves as the training institute for future Indonesian Air Force cadets. The airbase also oversee the air defense of Surakarta and the surrounding area.
Lion Air declared the airport as a regional hub in 2016."
68812522,0,Adisutjipto International Airport,
40945774,0,Adityapur International Airport,
12319184,0,Adler-Sochi International Airport,
56939589,0,Adler–Sochi International Airport,
6786078,0,Adnan Menderes International Airport,
42300060,0,Adolfo Suárez International Airport,
36571203,0,Aeropuerto del Norte International Airport,
1317931,0,Afonso Pena International Airport,"Afonso Pena International Airport (IATA: CWB, ICAO: SBCT) is the main airport serving Curitiba, Brazil, located in the adjoining municipality of São José dos Pinhais. It is named after Afonso Pena (1847–1909), the 6th President of Brazil.
It is operated by Infraero and CCR."
48513585,0,Agadir-Al Massira International Airport,
10645072,0,Agana Field International Airport,
15619678,0,Agana International Airport,
15619682,0,Agaña International Airport,
6880145,0,Agostinho-Neto International Airport,"Antonio-Agostinho-Neto International Airport (IATA: PNR, ICAO: FCPP) is an airport serving Pointe-Noire, a coastal city in the Republic of the Congo. The runway is surrounded by the densely populated city, and is 3 kilometres (1.9 mi) inland from the Atlantic shore.
The Pointe Noire VOR-DME is located on the field.

"
2157356,0,Aguascalientes International Airport,"Lic. Jesús Terán Peredo International Airport (Spanish: Aeropuerto Internacional Lic. Jesús Terán Peredo, IATA: AGU, ICAO: MMAS), also known as Aguascalientes International Airport, serves Aguascalientes, the capital city of the state of Aguascalientes in Mexico. It handles national and international air traffic for the city of Aguascalientes. The airport was named after Jesús Terán Peredo, an Aguascalientes governor from 1855 to 1857, and one of the first persons to recognize Benito Juárez as Mexico's president.
Its commercial facilities consist of a sole terminal, with four contact positions plus three remotes used by non-mainline carriers. The terminal has been recently remodeled and expanded to meet the growing demand. The airport is now able to handle 1.5 million passengers, although it only handled 0.4 million during 2012. Several amenities have been recently opened, such as the introduction of a new restaurant on the upper level of the airport, new check-in counters, among many others. The airport has become one of the most important terminals in the Central-West region of Mexico."
61213383,0,Ahmad Shah Baba International Airport,
68812511,0,Ahmad Yani International Airport,
19006260,0,Ahmedabad - Sardar Vallabhbhai Patel International Airport,
59009480,0,Ahmedabad International Airport,
9401367,0,Ahvaz International Airport,"Ahvaz International Airport (IATA: AWZ, ICAO: OIAW) (Persian: فرودگاه بین‌المللی اهواز, Forudgāh-e beynalmelali-ye Ahvāz ) is an airport serving the city of Ahvaz, Iran. It offers flights to domestic destinations as well as regional international destinations, such as Dubai, Istanbul and Kuwait."
45102976,0,Ahwaz International Airport,
60708376,0,Airlines and Destinations of Hong Kong International Airport,
18914318,0,Airlines and destinations at Incheon International Airport,
59004220,0,Airlines and destinations of Hong Kong International Airport,
56231660,0,Airlines and destinations of Jinnah International Airport,
50777090,0,Airlines and destinations of Los Angeles International Airport,
16067961,0,Aji Pangeran Tumenggung Pranoto International Airport,"Aji Pangeran Tumenggung Pranoto International Airport (IATA: AAP, ICAO: WALS), also known as APT Pranoto Airport or Samarinda Airport, is the main airport in Samarinda, the capital city of East Kalimantan, Indonesia. It is in the district of Sungai Siring. The airport is also colloquially known as Sungai Siring Airport, to distinguish it from its predecessor, the now-closed Temindung Airport. The airport is named after Aji Pangeran Tumenggung Pranoto, the first governor of East Kalimantan who was in office from 1957 to 1961.
The airport started commercial operation on 24 May 2018, replacing the Temindung Airport. The airport is operated by UPBU APT Pranoto Samarinda (Ministry of Transportation).Having been in commercial operation since 2018, Samarinda Airport is an important Australian passenger gateway for East Borneo's wildlife, and an important contributor to Samarinda's economy, which is lying at BIMP-EAGA and bordering with the new capital of Indonesia. Strategically located at the heart of East Borneo and its proximity to the new capital of Indonesia, the transport authority is enhancing the airport's status as East Borneo's primary international hub airport. In 2019, Samarinda Airport handled 1.1 million passengers and according to Indonesian government, the airport will reach its maximum terminal capacity (1.5 million passengers) if no extra terminal is added.In the first half of 2021, the airport achieved the third most passenger rebound in East Borneo, recording a 1.22% increase year-on-year, ahead of Sultan Aji Muhammad Sulaiman Airport (fourth place). The figure still remains below the pre-pandemic (2019) levels. However the airport passenger market share has actually increased by over 2% (23%) during the first half of 2021, compared to 2020 levels (East Kalimantan). The airport was chosen as one of the Top 11 Remarkable International-Class Airports in Indonesia by Wonderful Indonesia in 2020."
14745087,0,Ajman International Airport,"Ajman International Airport (Arabic: مطار عجمان الدولي) was an upcoming airport which is currently a construction project in Ajman, the smallest emirate of the United Arab Emirates. Ajman is surrounded on its landlocked north, south and eastern borders by Sharjah. The airport is being constructed in the eastern district of Ajman, in the Al Manama enclave. This construction project is one worth $571 million which is forecasted to accommodate for 1 million passengers and a minimum of 400,000 tonnes of cargo when completed. It has an expected completion date of late 2020. This is set to enable more accessible travel to Ajman and encourages development on the surrounding area with plans to expand and open hotels, restaurants, commercial offices, residential units, retail, educational centres and exhibition halls. According to a feasibility study by ICTS Europe and Booz Allen Hamilton (BAH) new construction project is set to achieve more than 1 million passengers within the first three years of opening and operating.As of February 2021, construction has not started yet and the project is probably canceled or on hold."
9244601,0,Akanu Ibiam International Airport,"Akanu Ibiam International Airport (IATA: ENU, ICAO: DNEN), also known as Enugu Airport, is an airport serving Enugu, the capital city of Enugu State of Nigeria, and nearby cities, such as  Abakaliki, Awka, Onitsha, Nnewi, Afikpo, Okigwe, Nsukka, Ugep, Orlu, Idah, Otukpo and Ogoja.  The airport is named after the late Akanu Ibiam (1906–1995), a medical doctor and statesman who hailed from Afikpo in Ebonyi State.
The airport was closed on February 10, 2010, by the Federal Airports Authority of Nigeria (FAAN) for the first phase of major renovation and expansion works. The airport was re-opened on 16 December 2010, but the second and third phase of the construction work is still ongoing. The airport is being prepared for its new status as an international airport.The Enugu VOR-DME (Ident: ENG) and non-directional beacon (Ident: EN) are located off the approach end of Runway 26. The VOR is 2.6 nautical miles (4.8 km) out, and the NDB is 1.8 nautical miles (3.3 km) out."
58066134,0,Akron Fulton International Airport,
16884816,0,Akron International Airport,
54229844,0,Aktion International Airport,
8508107,0,Aktobe International Airport,"Aktobe International Airport (Kazakh: Aqtóbe halyqaralyq áýejaıy; Russian: Международный аэропорт Актобе) (IATA: AKX, ICAO: UATT) is an airport in Kazakhstan located 1.5 km (0.93 mi) south-west of Aktobe. It has a small terminal with five airliner parking spots. It has serviced the Ilyushin Il-86."
27087510,0,Akwa Ibom International Airport,
9419483,0,Al-Ahsa International Airport,"Al-Ahsa International Airport (Arabic: مطار الأحساء الدولي, IATA: HOF, ICAO: OEAH) is an airport serving Hofuf (also known as Al-Ahsa or Al-Hasa), a city in Eastern Province, Saudi Arabia."
487820,0,Al-Ain International Airport,
24796424,0,Al-Arish International Airport,
27836192,0,Al-Maktoum International Airport,
9223908,0,Al Abraq International Airport,"Al Abraq International Airport or Al Bayda International Airport is an airport serving the eastern Libyan city of Bayda. The airport is 16 kilometres (9.9 mi) east of Bayda, and 12 kilometres (7.5 mi) south of Libya's Mediterranean coast. The airport is also known as El Beida International Airport or Airport International El Beida la Abraq.The Labraq non-directional beacon (Ident: LAB) is located on the field."
487817,0,Al Ain International Airport,"Al Ain International Airport (IATA: AAN, ICAO: OMAL); Arabic: مَطَار ٱلْعَيْن ٱلدَُوَلِِي; transliterated: Maṭār Al-ʿAyn Ad-Duwalī) is an airport located 8 nautical miles (15 km; 9.2 mi) west or northwest of Al Ain in the Eastern Region of the Emirate of Abu Dhabi, the United Arab Emirates. It was opened on 31 March 1994. 14 flights and 4,000 passenger pass through the airport each week. It is the fifth busiest airport in the UAE."
52067000,0,Al Alamain International Airport,
24796419,0,Al Arish International Airport,
26544515,0,Al Aroui International Airport,
28730287,0,Al Bayda International Airport,
13742175,0,Al Hudaydah International Airport,
3260694,0,Al Maktoum International Airport,"Al Maktoum International Airport (IATA: DWC, ICAO: OMDW), also known as Dubai World Central, is an international airport in Jebel Ali, 37 kilometres (23 mi) southwest of Dubai, United Arab Emirates that opened on 27 June 2010. It is the main part of Dubai South, a planned residential, commercial and logistics complex.
When fully completed (originally expected 2027), the airport will contain transport modes, logistics, and value-added services, including manufacturing and assembly, in a single free economic zone. It will cover an area of 14,000 hectares (35,000 acres). The airport has a projected annual capacity of 12 million tonnes (12,000,000 long tons; 13,000,000 short tons) of freight and between 160 million and 260 million passengers. As of 2021, only a handful of airlines operate passenger services out of Al Maktoum International Airport with a focus on freight activity. A completion of the project is yet to be confirmed."
48513589,0,Al Massira International Airport,
18522860,0,Al Najaf International Airport,"Al Najaf International Airport (IATA:  NJF; ICAO: ORNI) is the airport serving Najaf, Iraq, and is located on the eastern side of the city.  Formerly a military airbase, the facility consists of one asphalt runway 3,000 metres (9,800 ft) long and 45 metres (148 ft) wide. The airport is expanding to provide four departure gates, two arrival gates, immigration and passenger services."
487819,0,Alain International Airport,
170609,0,Albany International Airport,"Albany International Airport (IATA: ALB, ICAO: KALB, FAA LID: ALB) is six miles (9 km) northwest of Albany, in Albany County, New York, United States. It is owned by the Albany County Airport Authority. ALB covers 1,000 acres (400 ha) of land.It is an airport of entry in the town of Colonie. It was built on the site of the Shaker settlement about 6 miles (9.7 km) north of Albany and stretching north to the hamlet of Verdoy. The airport is a Class Charlie Airspace.
Albany International Airport serves as the major air center for the Capital Region, Northeastern New York, and Western New England. In 2019, the airport handled a total of 1,518,969 passengers, which was a 3.6% increase from 2018. Many airlines serve the airport, with Southwest Airlines having the most presence. They hold 34% of the total airline share at Albany. Along with Southwest Airlines, Albany sees service with many other low-cost carriers, including JetBlue Airways, Allegiant Airlines, and Frontier Airlines. The airport is the fourth largest in New York State.

"
170609,0,Albany International Airport,"Albany International Airport (IATA: ALB, ICAO: KALB, FAA LID: ALB) is six miles (9 km) northwest of Albany, in Albany County, New York, United States. It is owned by the Albany County Airport Authority. ALB covers 1,000 acres (400 ha) of land.It is an airport of entry in the town of Colonie. It was built on the site of the Shaker settlement about 6 miles (9.7 km) north of Albany and stretching north to the hamlet of Verdoy. The airport is a Class Charlie Airspace.
Albany International Airport serves as the major air center for the Capital Region, Northeastern New York, and Western New England. In 2019, the airport handled a total of 1,518,969 passengers, which was a 3.6% increase from 2018. Many airlines serve the airport, with Southwest Airlines having the most presence. They hold 34% of the total airline share at Albany. Along with Southwest Airlines, Albany sees service with many other low-cost carriers, including JetBlue Airways, Allegiant Airlines, and Frontier Airlines. The airport is the fourth largest in New York State.

"
25121785,0,Alberto Carnevalli International Airport,
15111677,0,"Albrook ""Marcos A. Gelabert"" International Airport","Albrook ""Marcos A. Gelabert"" International Airport (Spanish: Aeropuerto Internacional de Albrook ""Marcos A. Gelabert"") (IATA: PAC, ICAO: MPMG) is a public airport located 1.5 kilometres (1 mi) west of the center of Panama City, in the Panamá Province of Panama. It is on the site of the former Albrook Air Force Station. Previously, the airport was located in the area of Paitilla Punta Paitilla, operating approximately 70 years until January 1999, when the airport moved operations to Albrook. The name was changed to honor the Panamanian aviator Marcos A. Gelabert, whose contributions to Panamanian aviation included founding Panama's first airline and first school for training pilots.
Air Panama offers daily flights to many cities in Panama and other countries from Albrook Airport. Its corporate headquarters are located on the airport property.The runway length does not include greater than 230 metres (750 ft) displaced thresholds on either end. There are hills in all quadrants.
The Tocumen VOR-DME (Ident: TUM) is located 10.3 nautical miles (19 km) east-northeast of the airport. The Taboga Island VOR-DME (Ident: TBG) is located 11.2 nautical miles (21 km) south of the airport."
9509240,0,Albuquerque International Airport,
13476690,0,Albuquerque International airport,
13476703,0,Albuquerque international Airport,
13476699,0,Albuquerque international airport,
3965779,0,Alejandro Velasco Astete International Airport,"Alejandro Velasco Astete International Airport (IATA: CUZ, ICAO: SPZO)  is an international airport located in the city of Cusco, in southeastern Peru. Cusco, a principal tourist attraction in Latin America, receives various domestic flights as well as some international flights. The runway is completely paved. It operates at limited capacity due to its precarious location near the city's center. Despite these limitations, the airport has consistently ranked as Peru's second most important air terminal, handling 3,209,153 national and international passengers in 2016, as reported by CORPAC."
7559247,0,Aleppo International Airport,"Aleppo International Airport (Arabic: مطار حلب الدولي) (IATA: ALP, ICAO: OSAP) is an international airport serving Aleppo, Syria. The airport is serving as a secondary hub for Syrian Air."
221981,0,Alexander Hamilton International Airport,
60104539,0,Alexander Kartveli Batumi International Airport,
8776090,0,Alexander the Great International Airport,
24057007,0,Alexandria International Airport,
24057007,0,Alexandria International Airport,
34626703,0,Alexandroupoli International Airport,
48221129,0,Alexandroupolis International Airport,
715477,0,Alfonso Bonilla Aragon International Airport,
16628409,0,Alfonso Bonilla Aragon International airport,
715453,0,Alfonso Bonilla Aragón International Airport,"Alfonso Bonilla Aragón International Airport (IATA: CLO, ICAO: SKCL) formerly known as Palmaseca International Airport is located between Palmira and Cali, the capital of Valle del Cauca Department, Colombia. It is Colombia's fourth-busiest airport in passenger volume, with 5,600,000 people using the airport in 2016, and third largest in area and construction. The airport often serves as the alternate airport for Bogotá - El Dorado Int'l Airport and other Colombian airports.
The airport lies in the center of the wide and fertile Cauca River valley, which runs north - south between the Western and Central Colombian Andes ranges. It is approximately a five-hour flight from Santiago de Chile, 50 minutes from Quito, Ecuador, and about three hours, 18 minutes from Miami.
The airport is one of the very few secondary airports in Latin America that operates 24 hours a day. This is made possible by the year-round stable meteorological conditions, and its distance from both Cali and Palmira, which means it is not subject to any noise restrictions, allowing aircraft to take off and land at any time of day. The airport has non-stop flights to the United States, Spain, Ecuador, Panama and Peru."
13029336,0,Alfonso Bonilla Aragón International airport,
16776657,0,Alfredo Vasquez Cobo International Airport,
2494044,0,Alfredo Vásquez Cobo International Airport,"Alfredo Vásquez Cobo International Airport (Spanish: Aeropuerto Internacional Alfredo Vásquez Cobo, IATA: LET, ICAO: SKLT) is an international airport located in Leticia, Colombia's southernmost city and capital of the Amazonas Department.
The airport is of utmost importance for the Amazon region, as it is the main gateway to the rest of the country and serves the tri-border area between Colombia, Brazil and Peru."
6093445,0,Alicante International Airport,
3053605,0,Alice International Airport,"Alice International Airport (IATA: ALI, ICAO: KALI, FAA LID: ALI) is three miles southeast of Alice, in Jim Wells County, Texas. The airport is owned by the city and county. The National Plan of Integrated Airport Systems for 2011–2015 categorized it as a general aviation facility.
For a year or two 1950-51 it saw scheduled Trans-Texas DC-3s.

"
377377,0,Allama Iqbal International Airport,"Allama Iqbal International Airport (Urdu: علامہ اقبال بین الاقوامی ہوائی اڈا, IATA: LHE, ICAO: OPLA) is the second largest civilian airport by traffic in Pakistan, serving Lahore, capital of Punjab and second-largest city of Pakistan. It also serves a large portion of the travellers from the other regions of Punjab province. Originally known as Lahore International Airport, it was renamed after the poet philosopher Muhammad Iqbal, one of the pioneers that led to the creation of Pakistan. The airport has three terminals: the Allama Iqbal terminal, the Hajj terminal and a cargo terminal. The airport is about 15 km from the centre of the city."
38842666,0,Allentown-Bethlehem-Easton International Airport,
4532485,0,Almaty International Airport,"Almaty International Airport (IATA: ALA, ICAO: UAAA) (Kazakh: Halyqaralyq Almaty Äuejaiy/Халықаралық Алматы Әуежайы), formerly Alma-Ata Airport, is a major international airport 15 km (9.3 mi) northeast of Almaty, the largest city and commercial capital of Kazakhstan. It is the busiest airport in that country, accounting for half of passenger traffic and 68% of cargo traffic."
8229445,0,Almeria International Airport,
13651517,0,Almería International Airport,
317156,0,Alvarez International Airport,
64598052,0,Amaala International Airport,"Amaala International Airport is an international airport, designed by Sir Norman Foster, in an ultra-luxury resort located along the western coast of Saudi Arabia, between Neom and Red Sea Project. The airport is due completion by 2023, and it will accommodate around 1 million travellers per year. Inspired by the optical illusion of a desert mirage, the airport draws it inspiration from the natural environment of where it exists."
52453922,0,Amado Nervo International Airport,
4053911,0,Amarillo International Airport,
25107721,0,Amata Kabua International Airport,
25026930,0,Amausi International Airport,
44231860,0,American samoa international airport,
46710186,0,Amet-khan Sultan International Airport,
9564263,0,Amilcar Cabral International Airport,
34061733,0,Amilcar International Airport,
15419195,0,Aminu Kano International Airport,
43224692,0,Amman-Marka International Airport,
41620403,0,Amman-Queen Alia International Airport,
52259948,0,Amman International Airport,
19006240,0,Amritsar - Raja Sansi International Airport,
17668527,0,Amritsar International Airport,
4639928,0,Amsterdam International Airport,
43769167,0,Amsterdam Schiphol International Airport,
3305524,0,Amílcar Cabral International Airport,"Amílcar Cabral International Airport (IATA: SID, ICAO: GVAC), also known as Sal International Airport, is the main international airport of Cape Verde. The airport is named after the revolutionary leader Amílcar Cabral. It is located two km west-southwest from Espargos on Sal Island. Sal is the main hub for the national airline, Cabo Verde Airlines; and serves as a base for carrier Cabo Verde Express. This airport was also one of NASA's locations for a facility to handle the Space Shuttle after reentering from orbit."
760809,0,Anchorage International Airport,
39114247,0,Anchorage Ted Stevens International Airport,
18182016,0,Ancona International Airport,
7117033,0,Andros Town International Airport,"Andros Town Airport or Andros Town International Airport (IATA: ASD, ICAO: MYAF) is an airport serving Andros Town on Andros Island in the Bahamas. It is also known as Fresh Creek Airport.It is one of three commercial airports on Andros Island. The airport is served by two airlines, but few tourists actually fly there. The airport is like any small Bahamian airport, with check-in, customs, gift shops and restaurants.

"
34827099,0,André Franco Montoro International Airport,
16766788,0,Andrés Sabella Gálvez International Airport,"Andrés Sabella Gálvez International Airport (IATA: ANF, ICAO: SCFA) is an airport serving Antofagasta, capital of the Antofagasta Region of Chile. It is 10 kilometres (6.2 mi) north of Antofagasta and 3 kilometres (1.9 mi) inland from the Pacific coastline.
The Antofagasta VOR-DME (Ident: FAG) and non-directional beacon (Ident: R) are located on the approach path to Runway 01."
28666203,0,Angel Albino Corzo International Airport,
26975434,0,Angkor International Airport,
29189188,0,Angola International Airport,Angola International Airport (Aeroporto Internacional de Angola in Portuguese) is a major airport under construction near the Angolan capital of Luanda. The site was selected in 2004. It is located 40 kilometers southeast of the city center in the Bom Jesus commune. It will be an alternative to existing Quatro de Fevereiro International Airport. Chinese companies and the Brazilian company Odebrecht are constructing the airport. The first phase was completed in 2012. The originally scheduled 2015/2016 opening was delayed until 2022.
29216087,0,Angola international airport,
50832523,0,Angouleme - Cognac International Airport,
50829443,0,Angouleme – Cognac International Airport,
49756708,0,Angoulême - Cognac International Airport,
9282190,0,Angoulême – Cognac International Airport,"Angoulême – Cognac International Airport (French: Aéroport international d'Angoulême - Cognac), also known as Angoulême – Brie – Champniers Airport (French: Aéroport d'Angoulême - Brie - Champniers), (IATA: ANG, ICAO: LFBU) is an airport located 15 kilometres (9.3 mi) northeast of Angoulême, between Brie and Champniers, all communes of the Charente département in the Nouvelle-Aquitaine région of France."
10594505,0,Anna International Airport,
30037466,0,Annadurai International Airport,
4755821,0,Antalya International Airport,
52262029,0,Antananarivo International Airport,
42680893,0,Antigua International Airport,
26858730,0,Antonio B. Won Pat Guam International Airport,
291340,0,Antonio B. Won Pat International Airport,"Antonio B. Won Pat International Airport (IATA: GUM, ICAO: PGUM), also known as Guam International Airport, is an airport located in Tamuning and Barrigada, 3 miles (4.8 km) east of the capital city of Hagåtña (formerly Agana) in the United States territory of Guam. The airport is a hub for Asia Pacific Airlines and for United Airlines, serving as the latter's Pacific Ocean hub. It is also the home of the former Naval Air Station Agana, and is the only international airport in the territory. The airport is named after Antonio Borja Won Pat, the first delegate from Guam to the United States House of Representatives, and is operated by the A.B. Won Pat International Airport Authority, Guam (GIAA, Chamorro: Aturidat Puetton Batkon Airen Guahan Entenasionat), an agency of the Government of Guam."
1489487,0,Antonio Carlos Jobim International Airport,
25121775,0,Antonio Jose de Sucre International Airport,
26858738,0,Antonio Won Pat Guam International Airport,
26858735,0,Antonio Won Pat International Airport,
3308504,0,Antonov International Airport,
